TIMESTAMP,U10,V10,U100,V100,TARGETVAR
20131130 1:00,-2.695559941,1.204642455,-3.58101726,1.507664939,?
20131130 2:00,-2.590271758,1.081529101,-3.420895842,1.317268543,?
20131130 3:00,-2.544633533,0.9805259,-3.350945189,1.175278011,?
20131130 4:00,-2.405717184,0.823744811,-3.156394934,0.95261104,?
20131130 5:00,-2.450554738,0.770479442,-3.21322984,0.8887153,?
20131130 6:00,-2.644717358,0.806157189,-3.512159585,0.956483509,?
20131130 7:00,-2.890523233,0.803142168,-3.953176596,0.982945381,?
20131130 8:00,-2.64711937,0.616210871,-4.324789442,0.86741672,?
20131130 9:00,-1.817624628,0.507167614,-4.875104348,0.984236204,?
20131130 10:00,-2.320846101,0.757916855,-6.106345147,1.49540212,?
20131130 11:00,-2.610688858,0.619225892,-7.407536599,1.448932491,?
20131130 12:00,-2.404916514,0.256920877,-6.792735934,0.26912025,?
20131130 13:00,-2.33365683,0.132300012,-6.263734117,-0.392426548,?
20131130 14:00,-2.330053812,0.058934503,-6.058800562,-0.729331357,?
20131130 15:00,-2.296025312,-0.281260358,-4.955984791,-1.913016068,?
20131130 16:00,-2.324849454,-0.451106537,-5.899772123,-3.032805038,?
20131130 17:00,-2.194340146,-1.008885409,-5.727081448,-4.160984359,?
20131130 18:00,-2.119477445,-1.382748003,-5.312295932,-5.144591501,?
20131130 19:00,-1.820827311,-1.816911017,-4.513874802,-6.028159859,?
20131130 20:00,-1.883279617,-2.554586137,-4.153191745,-7.24605138,?
20131130 21:00,-2.256392117,-3.503312722,-4.006732565,-7.366097921,?
20131130 22:00,-2.279611565,-4.005313706,-3.500136817,-6.650336555,?
20131130 23:00,-1.938125554,-4.572137641,-2.731772608,-6.865904,?
20131201 0:00,-1.259957555,-5.355038075,-1.751370481,-7.797878221,?
